VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
105, 22,  5.50391, -0.32202, -2.08203,  1.00,  0.29921,  0.94488, -0.14961,  0.00,  1.00,  1.00,  1.00,  0.00,  0.18774,  0.87207,  0.18774,  0.87207, -0.89764,  0.22047, -0.37795, -1.00
106, 16,  3.25,  0.46997, -0.92432,  1.00,  0.38583,  0.91339, -0.09449,  0.00,  1.00,  1.00,  1.00,  0.00,  0.27539,  0.71533,  0.27539,  0.71533, -0.84252,  0.31496, -0.43307, -1.00
107, 27,  5.67969, -0.32202, -0.14612,  1.00,  0.32283,  0.94488,  0.07087,  0.00,  1.00,  1.00,  1.00,  0.00,  0.08624,  0.73633,  0.08624,  0.73633, -0.85039,  0.32283, -0.40945, -1.00
108, 27,  5.67969, -0.32202, -0.14612,  1.00,  0.32283,  0.94488,  0.07087,  0.00,  1.00,  1.00,  1.00,  0.00,  0.08624,  0.73633,  0.08624,  0.73633, -0.85039,  0.32283, -0.40945, -1.00
109, 15,  3.1543,  0.48853,  0.34302,  1.00,  0.44094,  0.88189,  0.14961,  0.00,  1.00,  1.00,  1.00,  0.00,  0.22095,  0.60986,  0.22095,  0.60986, -0.77165,  0.46457, -0.43307, -1.00
110, 25,  4.34375, -0.32202,  1.55664,  1.00,  0.38583,  0.89764,  0.20472,  0.00,  1.00,  1.00,  1.00,  0.00,  0.06439,  0.57568,  0.06439,  0.57568, -0.76378,  0.43307, -0.48031, -1.00
111, 19, -2.38086, -0.32202,  3.01758,  1.00, -0.4252,  0.74016,  0.52756,  0.00,  1.00,  1.00,  1.00,  0.00,  0.52441,  0.13013,  0.52441,  0.13013, -0.85039, -0.13386, -0.50394, -1.00
112, 12, -2.91211,  0.73779,  1.31934,  1.00, -0.46457,  0.7874,  0.40945,  0.00,  1.00,  1.00,  1.00,  0.00,  0.63037,  0.25098,  0.63037,  0.25098, -0.83465, -0.23622, -0.49606, -1.00
113, 28, -4.23047, -0.32202,  1.36914,  1.00, -0.52756,  0.74803,  0.40157,  0.00,  1.00,  1.00,  1.00,  0.00,  0.75195,  0.17065,  0.75195,  0.17065, -0.80315, -0.27559, -0.53543, -1.00
114, 11, -3.45313,  0.75635, -0.01976,  1.00, -0.47244,  0.88189, -0.0315,  0.00,  1.00,  1.00,  1.00,  0.00,  0.73877,  0.33105,  0.73877,  0.33105, -0.75591, -0.41732, -0.50394, -1.00
115, 28, -4.23047, -0.32202,  1.36914,  1.00, -0.52756,  0.74803,  0.40157,  0.00,  1.00,  1.00,  1.00,  0.00,  0.75195,  0.17065,  0.75195,  0.17065, -0.80315, -0.27559, -0.53543, -1.00
116, 12, -2.91211,  0.73779,  1.31934,  1.00, -0.46457,  0.7874,  0.40945,  0.00,  1.00,  1.00,  1.00,  0.00,  0.63037,  0.25098,  0.63037,  0.25098, -0.83465, -0.23622, -0.49606, -1.00
117, 28, -4.23047, -0.32202,  1.36914,  1.00, -0.52756,  0.74803,  0.40157,  0.00,  1.00,  1.00,  1.00,  0.00,  0.75195,  0.17065,  0.75195,  0.17065, -0.80315, -0.27559, -0.53543, -1.00
118, 11, -3.45313,  0.75635, -0.01976,  1.00, -0.47244,  0.88189, -0.0315,  0.00,  1.00,  1.00,  1.00,  0.00,  0.73877,  0.33105,  0.73877,  0.33105, -0.75591, -0.41732, -0.50394, -1.00
119, 18, -5.44531, -0.32202, -0.2771,  1.00, -0.44094,  0.89764,  0.02362,  0.00,  1.00,  1.00,  1.00,  0.00,  0.92871,  0.24207,  0.92871,  0.24207, -0.77165, -0.37008, -0.51181, -1.00
120, 18, -5.44531, -0.32202, -0.2771,  1.00, -0.44094,  0.89764,  0.02362,  0.00,  1.00,  1.00,  1.00,  0.00,  0.92871,  0.24207,  0.92871,  0.24207, -0.77165, -0.37008, -0.51181, -1.00
121, 7, -2.32227,  0.75439, -1.50098,  1.00, -0.34646,  0.88189, -0.32283,  0.00,  1.00,  1.00,  1.00,  0.00,  0.74072,  0.49219,  0.74072,  0.49219, -0.75591, -0.46457, -0.46457, -1.00
122, 29, -4.86328, -0.32202, -1.97754,  1.00, -0.35433,  0.91339, -0.18898,  0.00,  1.00,  1.00,  1.00,  0.00,  0.96582,  0.40576,  0.96582,  0.40576, -0.77953, -0.40157, -0.48031, -1.00
123, 29, -4.86328, -0.32202, -1.97754,  1.00, -0.35433,  0.91339, -0.18898,  0.00,  1.00,  1.00,  1.00,  0.00,  0.96582,  0.40576,  0.96582,  0.40576, -0.77953, -0.40157, -0.48031, -1.00
124, 7, -2.32227,  0.75439, -1.50098,  1.00, -0.34646,  0.88189, -0.32283,  0.00,  1.00,  1.00,  1.00,  0.00,  0.74072,  0.49219,  0.74072,  0.49219, -0.75591, -0.46457, -0.46457, -1.00
125, 21, -3.30273, -0.32202, -3.68164,  1.00, -0.22835,  0.90551, -0.35433,  0.00,  1.00,  1.00,  1.00,  0.00,  0.92529,  0.61768,  0.92529,  0.61768, -0.7874, -0.3937, -0.48031, -1.00
